word,count
obedient,5
taming,17
shrew,26
allure,1
pleasantst,1
angling,1
oars,6
filver,6
stream,16
greedily,1
treacherous,2
alout,3
enticement,1
beautys,5
boast,19
wretches,4
beguile,6
spens,9
sonnet,2
xli,5
taketh,7
therewith,4
souls,14
hooker,68
xc2xa7,66
35,7
grant,10
allurements,1
greatest,22
crosses,2
meet,19
eve,4
tempter,1
x,43
551,1
prides,1
affected,5
flatterys,1
pernicious,2
ornament,12
knot,12
tyxe2x80x99d,3
negligence,2
unheeded,3
fab,21
equal,33
glory,22
pleasures,5
ba1ze,1
coarse,11
cloth,12
stuff,8
nap,1
frized,2
according,31
uses,14
intended,6
wale,1
wrought,15
loom,2
treddles,1
flan,1
nel,1
chambers,18
bake,9
participle,16
passive,14
baked,9
baken,2
baecan,1
becken,1
achter,1
bec,5
phrygian,3
language,34
signified,11
bread,37
heat,43
oven,2
thereof,24
warm,12
yea,5
kindleth,1
baketh,2
isaiah,11
xliv,2
15,16
prices,2
proceeded,6
de,27
licacy,1
bak,2
harden,5
fire,94
baking,3
whatsoever,5
degree,25
dissolve,5
vehement,2
dusty,2
summer,20
bakes,1
crumbling,2
clods,1
pleasant,11
isxe2x80x99t,1
twisted,3
arch,10
ply,4
carouse,1
philips,25
flaming,10
arrows,7
piercd,1
flood,24
bakd,1
mud,3
wring,3
brew,16
scour,4
dress,19
beds,11
myself,28
windsor,10
heated,1
fillet,5
fenny,2
snake,7
cauldron,4
boil,14
lake,9
seats,9
meats,4
dressed,8
houses,7
sweetmeats,2
relent,2
mould,7
oa,274
coali,1
macleth,3
marked,5
willingness,1
italian,3
artizans,1
distri,1
bute,3
kitchen,7
pantry,1
bakehouse,1
jotton,4
cake,4
coals,9
cruse,1
water,116
xix,5
baker,4
trade,24
life,98
proceed,7
knowing,5
intention,5
cook,8
balance,34
salance,1
bilanx,1
six,22
powers,6
mechanicks,1
principally,6
determining,2
heavy,22
forms,14
pair,7
scales,11
conceived,4
considering,4
supposes,1
held,21
holds,12
whatever,14
weighed,4
therein,4
empty,21
lifted,4
higher,7
metaphorical,1
employed,14
comparing,2
justly,6
wrongs,3
griefs,3
heavier,7
offences,1
act,48
arises,4
miserable,6
inference,1
lot,9
ture,9
lxe2x80x99eiranges,1
advantages,5
rules,9
gospel,6
powerful,7
conviction,3
message,4
overplus,1
quantity,24
exceeds,1
exportation,2
exceed,4
value,14
importation,1
necessity,5
coin,11
bullion,7
willier,1
parts,80
stated,2
correspondent,3
paid,16
equipoise,1
smiling,3
hate,7
grief,15
family,10
pain,29
mixed,6
due,19
bounds,9
confind,4
beating,16
supposing,1
watches,2
whilst,13
sufficiently,3
proved,4
astronomy,1
signs,7
zodiack,3
monly,5
libra,1
valancer,1
weigh,5
